date,time_period,usage,is_free
2024-12-24,09:00 - 09:30,0.028,No
2024-12-24,09:30 - 10:00,0.072,No
2024-12-24,10:00 - 10:30,0.781,No
2024-12-24,10:30 - 11:00,0.063,No
2024-12-24,11:00 - 11:30,0.075,No
2024-12-24,11:30 - 12:00,0.098,No
2024-12-24,12:00 - 12:30,0.029,No
2024-12-24,12:30 - 13:00,0.054,No
2024-12-24,13:00 - 13:30,1.572,No
2024-12-24,13:30 - 14:00,0.982,No
2024-12-24,14:00 - 14:30,0.081,No
2024-12-24,14:30 - 15:00,0.094,No
2024-12-24,15:00 - 15:30,0.057,No
2024-12-24,15:30 - 16:00,0.028,No
2024-12-24,16:00 - 16:30,0.078,No
2024-12-24,16:30 - 17:00,0.13,No
2024-12-24,17:00 - 17:30,0.309,No
2024-12-24,17:30 - 18:00,0.074,No
2024-12-24,18:00 - 18:30,0.074,No
2024-12-24,18:30 - 19:00,0.06,No
2024-12-24,19:00 - 19:30,0.252,No
2024-12-24,19:30 - 20:00,0.244,No
2024-12-24,20:00 - 20:30,0.091,No
2024-12-24,20:30 - 21:00,0.112,No
2024-12-24,21:00 - 21:30,1.728,Yes
2024-12-24,21:30 - 22:00,2.108,Yes
2024-12-24,22:00 - 22:30,0.947,Yes
2024-12-24,22:30 - 23:00,1.619,Yes
2024-12-24,23:00 - 23:30,0.229,Yes
2024-12-24,23:30 - 00:00,0.043,Yes
2024-12-23,00:00 - 00:30,0.082,No
2024-12-23,00:30 - 01:00,0.054,No
2024-12-23,01:00 - 01:30,0.051,No
2024-12-23,01:30 - 02:00,0.043,No
2024-12-23,02:00 - 02:30,0.044,No
2024-12-23,02:30 - 03:00,0.039,No
2024-12-23,03:00 - 03:30,0.037,No
2024-12-23,03:30 - 04:00,0.037,No
2024-12-23,04:00 - 04:30,0.043,No
2024-12-23,04:30 - 05:00,0.036,No
2024-12-23,05:00 - 05:30,0.037,No
2024-12-23,05:30 - 06:00,0.036,No
2024-12-23,06:00 - 06:30,1.579,Yes
2024-12-23,06:30 - 07:00,0.757,Yes
2024-12-23,07:00 - 07:30,0.035,No
2024-12-23,07:30 - 08:00,0.035,No
2024-12-23,08:00 - 08:30,0.036,No
2024-12-23,08:30 - 09:00,0.043,No
2024-12-23,09:00 - 09:30,0.198,No
2024-12-23,09:30 - 10:00,0.059,No
2024-12-23,10:00 - 10:30,0.036,No
2024-12-23,10:30 - 11:00,0.044,No
2024-12-23,11:00 - 11:30,0.036,No
2024-12-23,11:30 - 12:00,0.042,No
2024-12-23,12:00 - 12:30,0.039,No
2024-12-23,12:30 - 13:00,0.037,No
2024-12-23,13:00 - 13:30,1.943,No
2024-12-23,13:30 - 14:00,1.752,No
2024-12-23,14:00 - 14:30,0.147,No
2024-12-23,14:30 - 15:00,0.049,No
2024-12-23,15:00 - 15:30,0.037,No
2024-12-23,15:30 - 16:00,0.057,No
2024-12-23,16:00 - 16:30,0.222,No
